Parameter,value,Initial coverage mean, Std Dev, Max,"After merging, coverage depth Mean", Std Dev, Max,,,
m,4,21.62,168.01,64628,23.63,19.17,509,,,
m,4,27.66,121.31,44269,31.42,25.88,477,,,
m,4,17.75,91.81,28267,19.62,15.48,320,,,
m,4,24.27,36.38,5074,28.11,20.74,205,,,
m,4,24.45,146.12,55647,27.29,21.25,494,,,
m,4,27.53,170.27,63834,30.84,24.56,634,,,
m,4,21.43,164.58,63747,24.33,19.42,486,,,
m,4,26.85,244.34,92191,28.92,23.75,646,,,
m,4,34.79,219.82,88262,38.93,31.09,705,,,
m,4,36.24,257.31,97230,39.16,32.15,769,,,
m,4,25.98,195.79,74674,28.35,23.88,603,,,
m,4,31.22,218.49,80784,33.49,27.29,693,,,
m,4,30.83,237.42,90590,33.08,27.71,712,,,
m,4,18.93,69.46,23153,21.66,18.03,291,,,
m,4,13.32,59.82,22295,16.71,14.76,272,,,
m,4,13.14,56.13,21303,16.69,14.95,189,,,
m,4,12.71,59.89,21470,15.69,13.14,211,,,
m,4,19.93,155.01,66500,23.70,20.91,575,,,
m,4,30.69,115.18,38087,33.37,26.60,418,,,
m,4,37.70,199.69,71752,40.64,29.08,632,,,
m,4,20.03,138.55,46283,20.27,16.33,535,,,
m,4,15.36,193.93,56867,13.64,13.69,431,,,
m,4,27.00,114.59,37262,28.57,23.10,458,,,
m,4,15.66,87.68,36390,19.85,17.79,342,,,
m,4,25.62,108.09,37933,28.97,23.74,494,,,
m,4,21.31,118.28,41384,23.38,18.26,393,,,
m,4,18.32,103.87,39577,21.22,17.58,430,,,
m,4,22.89,136.60,54814,27.10,22.68,472,,,
m,4,22.44,137.24,52017,26.00,21.71,576,,,
m,4,21.32,130.91,49541,24.26,19.27,339,,,
m,4,16.93,113.92,46332,19.85,17.09,384,,,
m,4,20.10,112.93,44055,23.63,19.66,420,,,
m,4,19.99,94.04,32542,22.59,18.44,356,,,
m,4,18.25,102.91,41484,20.81,18.27,387,,,
m,4,17.67,105.93,40458,20.37,16.55,311,,,
m,4,14.76,98.52,39533,16.55,13.88,412,,,
m,4,101.83,756.57,436626,147.32,196.11,2625,,,
m,4,24.96,122.07,41473,27.00,20.85,395,,,
m,4,24.28,132.52,46000,26.23,20.38,451,,,
m,4,15.98,87.29,40835,19.02,17.39,386,,,
m,4,19.77,88.79,29661,21.83,17.51,349,,,
m,4,26.42,126.69,44128,29.49,24.32,489,,,
m,4,25.53,125.13,42766,27.82,21.68,426,,,
m,4,91.28,618.11,378806,142.64,210.09,2521,,,
m,4,23.12,115.57,41339,26.20,21.75,479,,,
m,4,25.59,154.45,60889,30.31,25.87,512,,,
m,4,19.11,85.48,28906,21.71,17.64,313,,,
m,4,18.39,87.37,31144,21.12,16.38,302,,,
m,4,12.58,74.54,27528,15.15,11.83,219,,,
m,4,14.05,64.73,22287,16.31,12.50,210,,,
m,4,14.75,85.42,34643,18.29,15.45,271,,,
m,4,14.58,80.13,32485,18.20,15.68,299,,,
m,4,12.35,69.37,28849,15.79,14.24,190,,,
m,4,17.43,93.96,36575,20.98,17.62,308,,,
m,4,12.38,72.92,34296,16.43,16.11,245,,,
m,4,11.89,57.05,24911,15.55,15.96,198,,,
m,4,11.80,87.46,41809,15.53,14.95,251,,,
m,4,14.69,82.26,36414,19.23,18.53,271,,,
m,4,12.73,64.90,28012,16.67,15.81,218,,,
m,4,12.17,62.32,26977,15.94,15.09,181,,,
m,4,18.11,144.00,79228,24.35,24.69,565,,,
m,4,15.60,64.25,24068,19.35,17.05,217,,,
m,4,15.73,80.00,30640,19.16,16.05,276,,,
m,4,33.03,184.95,73853,37.55,28.98,659,,,
m,4,17.18,108.65,56037,22.76,23.03,374,,,
m,4,28.34,175.19,67168,32.39,26.54,703,,,
m,4,29.87,184.14,71492,34.12,28.19,623,,,
m,4,30.32,177.88,68143,34.37,27.39,581,,,
m,4,27.56,162.79,62762,31.46,25.19,553,,,
m,4,16.80,76.40,26471,19.09,15.19,248,,,
m,4,28.75,141.40,51517,32.94,26.09,584,,,
m,4,25.58,247.56,96918,27.92,23.29,593,,,
m,4,30.39,199.35,78867,34.56,27.36,651,,,
m,4,29.70,159.22,59753,34.07,26.89,559,,,
m,4,31.79,241.97,95726,35.50,29.30,778,,,
m,4,14.74,68.95,26828,18.08,15.83,235,,,
m,4,15.60,73.23,28852,19.69,17.73,242,,,
m,4,14.61,76.27,33740,19.18,18.52,273,,,
m,4,12.57,59.36,22906,16.07,14.00,207,,,
m,4,21.01,85.88,29989,24.19,19.34,292,,,
m,4,15.71,76.10,30478,19.55,17.43,304,,,
m,4,16.07,78.39,31807,20.32,18.27,300,,,
m,4,16.54,129.07,63612,21.78,19.66,446,,,
m,4,12.84,80.62,35325,16.62,15.29,323,,,
m,4,15.52,69.92,25384,18.69,15.73,229,,,
m,4,20.36,95.20,36173,24.40,20.63,344,,,
m,4,15.25,61.69,21033,17.94,14.75,205,,,
m,4,14.85,75.98,30902,18.84,17.06,332,,,
m,4,13.16,70.21,29328,16.98,15.89,281,,,
m,4,13.53,70.87,29713,17.52,16.65,237,,,
