Pop1,Latitude,Longitude,Pop2,Latitude,Longitude,Distance,Fst,
ES-Avi,40.1371230,-5.2501880,PL-Bory,53.7994342,17.5422478,1830.35526,0.247818,
PL-Bory,53.7994342,17.5422478,ES-Avi,40.1371230,-5.2501880,1830.35526,0.247818,
ES-Cuen,40.0202690,-1.8215450,FR-Port,43.0036000,6.3944000,603.9452234,0.247659,
FR-Port,43.0036000,6.3944000,ES-Cuen,40.0202690,-1.8215450,603.9452234,0.247659,
SE-Karl,59.4013320,13.5125290,SE-Halm,56.6732080,12.8572190,189.0673612,0.247375,
SE-Halm,56.6732080,12.8572190,SE-Karl,59.4013320,13.5125290,189.0673612,0.247375,
PT-Cast,39.7010980,-7.3040680,Sl-Sko,45.5710000,13.7924000,1512.525864,0.24668,
Sl-Sko,45.5710000,13.7924000,PT-Cast,39.7010980,-7.3040680,1512.525864,0.24668,
ES-Sal,40.9777810,-5.9651370,RS,44.7317030,20.4075950,1840.31683,0.246438,
RS,44.7317030,20.4075950,ES-Sal,40.9777810,-5.9651370,1840.31683,0.246438,
PL-Bory,53.7994342,17.5422478,WL-Angl,53.2143000,-4.3661000,1514.570242,0.246104,
WL-Angl,53.2143000,-4.3661000,PL-Bory,53.7994342,17.5422478,1514.570242,0.246104,
SE-Karl,59.4013320,13.5125290,SE-Nass,57.6520910,14.6974190,143.004525,0.245051,
SE-Nass,57.6520910,14.6974190,SE-Karl,59.4013320,13.5125290,143.004525,0.245051,
BE-Namur,50.6474000,4.8720000,PL-Bory,53.7994342,17.5422478,901.195826,0.243828,
PL-Bory,53.7994342,17.5422478,BE-Namur,50.6474000,4.8720000,901.195826,0.243828,
Sl-Sko,45.5710000,13.7924000,WL-Angl,53.2143000,-4.3661000,1359.972035,0.243262,
WL-Angl,53.2143000,-4.3661000,Sl-Sko,45.5710000,13.7924000,1359.972035,0.243262,
BE-Namur,50.6474000,4.8720000,SE-Halm,56.6732080,12.8572190,688.1356864,0.242896,
SE-Halm,56.6732080,12.8572190,BE-Namur,50.6474000,4.8720000,688.1356864,0.242896,
ES-Avi,40.1371230,-5.2501880,SE-Halm,56.6732080,12.8572190,1689.697125,0.242646,
SE-Halm,56.6732080,12.8572190,ES-Avi,40.1371230,-5.2501880,1689.697125,0.242646,
ES-Avi,40.1371230,-5.2501880,SE-Nass,57.6520910,14.6974190,1827.686249,0.242319,
SE-Nass,57.6520910,14.6974190,ES-Avi,40.1371230,-5.2501880,1827.686249,0.242319,
BE-Namur,50.6474000,4.8720000,Sl-Sko,45.5710000,13.7924000,706.8325458,0.24206,
Sl-Sko,45.5710000,13.7924000,BE-Namur,50.6474000,4.8720000,706.8325458,0.24206,
RS,44.7317030,20.4075950,WL-Angl,53.2143000,-4.3661000,1806.244766,0.241711,
WL-Angl,53.2143000,-4.3661000,RS,44.7317030,20.4075950,1806.244766,0.241711,
BE-Namur,50.6474000,4.8720000,IE-Down,54.3277000,-5.7158000,774.5251447,0.241415,
IE-Down,54.3277000,-5.7158000,BE-Namur,50.6474000,4.8720000,774.5251447,0.241415,
IS-Rey,64.1000000,-21.8000000,PT-Cast,39.7010980,-7.3040680,1909.833976,0.241367,
PT-Cast,39.7010980,-7.3040680,IS-Rey,64.1000000,-21.8000000,1909.833976,0.241367,
ES-Avi,40.1371230,-5.2501880,IE-Down,54.3277000,-5.7158000,976.7012501,0.241123,
IE-Down,54.3277000,-5.7158000,ES-Avi,40.1371230,-5.2501880,976.7012501,0.241123,
BE-Namur,50.6474000,4.8720000,RS,44.7317030,20.4075950,1144.855775,0.24112,
RS,44.7317030,20.4075950,BE-Namur,50.6474000,4.8720000,1144.855775,0.24112,
ES-Sal,40.9777810,-5.9651370,Sl-Sko,45.5710000,13.7924000,1401.290194,0.241104,
Sl-Sko,45.5710000,13.7924000,ES-Sal,40.9777810,-5.9651370,1401.290194,0.241104,
IS-Horn,64.3858000,-15.2892000,WL-Angl,53.2143000,-4.3661000,1070.771356,0.241083,
WL-Angl,53.2143000,-4.3661000,IS-Horn,64.3858000,-15.2892000,1070.771356,0.241083,
DK,56.2639000,9.5018000,PL-Bory,53.7994342,17.5422478,579.7639153,0.240564,
PL-Bory,53.7994342,17.5422478,DK,56.2639000,9.5018000,579.7639153,0.240564,
BE-Namur,50.6474000,4.8720000,SE-Nass,57.6520910,14.6974190,829.4653726,0.240504,
SE-Nass,57.6520910,14.6974190,BE-Namur,50.6474000,4.8720000,829.4653726,0.240504,
DK,56.2639000,9.5018000,IS-Rey,64.1000000,-21.8000000,2227.522128,0.239663,
IS-Rey,64.1000000,-21.8000000,DK,56.2639000,9.5018000,2227.522128,0.239663,
DK,56.2639000,9.5018000,SE-Karl,59.4013320,13.5125290,349.2062731,0.239464,
SE-Karl,59.4013320,13.5125290,DK,56.2639000,9.5018000,349.2062731,0.239464,
