Parameter,Value,Initial coverage,Stdev,Max,After merging ,Stdev,Max,,,
m,3,21.62,31.66,2842,23.58,20.58,170,,,
m,3,12.20,14.76,1356,13.12,9.59,80,,,
m,3,10.44,11.44,1158,11.31,7.40,75,,,
m,3,9.93,11.77,1001,10.67,7.02,66,,,
m,3,27.64,54.28,7401,31.93,26.35,276,,,
m,3,11.13,15.82,1571,11.93,8.41,75,,,
m,3,12.33,15.21,1374,13.34,9.47,87,,,
m,3,16.20,21.39,2079,17.56,14.02,161,,,
m,3,9.61,11.27,1053,10.32,6.74,65,,,
m,3,13.28,16.74,1329,14.32,10.80,110,,,
m,3,12.08,15.20,1311,13.06,9.39,82,,,
m,3,8.74,9.64,803,9.38,5.84,56,,,
m,3,10.34,12.73,1164,11.15,7.53,85,,,
m,3,8.59,9.58,754,9.19,5.74,59,,,
m,3,8.20,11.03,927,8.63,5.31,65,,,
m,3,21.49,28.77,4232,24.27,18.27,208,,,
m,3,18.12,28.19,2766,19.56,16.16,152,,,
m,3,15.06,19.26,1860,16.23,12.80,107,,,
m,3,13.13,15.29,1482,14.19,10.48,105,,,
m,3,9.16,13.16,1408,9.78,6.04,84,,,
m,3,15.69,21.30,1808,16.57,12.80,127,,,
m,3,11.51,13.88,1216,12.45,8.63,92,,,
m,3,8.19,8.03,774,8.81,5.21,54,,,
m,3,13.88,18.44,1815,15.03,10.90,95,,,
m,3,10.01,16.06,1395,10.63,7.05,99,,,
m,3,15.38,20.59,2160,16.58,13.13,114,,,
m,3,26.60,51.04,5751,30.11,24.56,287,,,
m,3,11.53,14.53,1340,12.42,8.81,86,,,
m,3,16.41,22.56,1787,17.72,14.13,132,,,
m,3,14.16,20.27,1620,15.25,11.50,118,,,
m,3,10.78,12.95,1252,11.60,7.85,81,,,
m,3,6.58,6.86,466,6.85,3.78,45,,,
m,3,7.71,8.09,725,8.21,4.79,53,,,
m,3,10.26,10.59,996,11.05,7.25,72,,,
m,3,9.93,15.20,1390,10.65,6.99,76,,,
m,3,8.78,9.34,886,9.45,5.85,66,,,
